iter	Logloss
0	0.6131460445
1	0.5469826855
2	0.4886222728
3	0.4407221567
4	0.3954091497
5	0.3555284642
6	0.3250778468
7	0.2963969528
8	0.2724242854
9	0.253386874
10	0.2347831413
11	0.2196500055
12	0.2062215853
13	0.1952804626
14	0.1852109938
15	0.1780381364
16	0.1701163389
17	0.1637307268
18	0.1578631647
19	0.1526554615
20	0.1478633551
21	0.1439164372
22	0.1405138538
23	0.1375532006
24	0.1349293401
25	0.1324259114
26	0.1303074084
27	0.1283873449
28	0.1266750748
29	0.1251576594
30	0.1237964851
31	0.1224809873
32	0.121370769
33	0.1202407099
34	0.1192189527
35	0.1182200138
36	0.1174669672
37	0.1167089827
38	0.1160576531
39	0.1155365399
40	0.1150420508
41	0.1145269274
42	0.1140573227
43	0.1136587653
44	0.113169297
45	0.1127282133
46	0.1124183152
47	0.1120650235
48	0.1117892776
49	0.1114336375
50	0.1111534238
51	0.1109328102
52	0.1107196335
53	0.1104151959
54	0.1101682064
55	0.1099679008
56	0.1097527978
57	0.1095064155
58	0.109319443
59	0.1091954499
60	0.1090414896
61	0.1088900879
62	0.1087202752
63	0.1086189836
64	0.1084684132
65	0.1082845535
66	0.1081521155
67	0.1080237774
68	0.1078252427
69	0.107695673
70	0.1074575637
71	0.1073174091
72	0.1071636749
73	0.1070583147
74	0.1069277479
75	0.1068419233
76	0.1067162598
77	0.1066244584
78	0.1064960977
79	0.106327848
80	0.1062548575
81	0.1061291937
82	0.1060006132
83	0.1058791626
84	0.1057698788
85	0.1056461985
86	0.1055585453
87	0.1054358145
88	0.1053769648
89	0.1053284405
90	0.1052153383
91	0.1051369384
92	0.1050415976
93	0.1049487272
94	0.1048740457
95	0.1047799059
96	0.1046979138
97	0.1046461863
98	0.1045603281
99	0.1045209691
100	0.1044506363
101	0.1043678809
102	0.1042949071
103	0.1042238616
104	0.1041508062
105	0.104092426
106	0.1040199342
107	0.1039200618
108	0.1038540558
109	0.1037405628
110	0.1036559099
111	0.1035810897
112	0.1034967958
113	0.1034047315
114	0.1033286319
115	0.1032139547
116	0.1031717689
117	0.1030835582
118	0.1029617266
119	0.1028905184
120	0.1028113825
121	0.1027446737
122	0.1026648836
123	0.1025949378
124	0.1025330812
125	0.1024838599
126	0.1023944866
127	0.1023471242
128	0.1023053554
129	0.1022454475
130	0.1021468924
131	0.1020949903
132	0.1020352827
133	0.1019712754
134	0.1019012068
135	0.1018570713
136	0.1018060815
137	0.1017169575
138	0.1016467928
139	0.1015840494
140	0.1015370094
141	0.1015000978
142	0.1014475803
143	0.1013792368
144	0.1013055651
145	0.1012612923
146	0.1012175588
147	0.1011378301
148	0.101081589
149	0.1010341961
150	0.1010086756
151	0.1009555868
152	0.1009047584
153	0.100826797
154	0.1007396853
155	0.1006756864
156	0.1006335187
157	0.100526208
158	0.1004592145
159	0.1004258814
160	0.1003973953
161	0.1003443498
162	0.1002469133
163	0.1002023925
164	0.1001720057
165	0.1000969757
166	0.1000507948
167	0.09997531019
168	0.0999381505
169	0.09989419656
170	0.09984041303
171	0.09979754986
172	0.09974849409
173	0.09969147038
174	0.09961479664
175	0.09956041353
176	0.09951748713
177	0.09947090218
178	0.09939882331
179	0.09932912659
180	0.09928587103
181	0.09918981974
182	0.09915842438
183	0.09912465695
184	0.09907690191
185	0.09903329801
186	0.09901604903
187	0.09896941676
188	0.09890808691
189	0.09888720035
190	0.098854217
191	0.09876387851
192	0.09873224686
193	0.09869607797
194	0.09864842225
195	0.09859569262
196	0.0985613411
197	0.0985283512
198	0.09849019907
199	0.09842959353
200	0.09837992362
201	0.09831445302
202	0.09828928555
203	0.0982725873
204	0.09824608594
205	0.09820490021
206	0.0981317713
207	0.09807911714
208	0.09803599648
209	0.09800171082
210	0.09795830066
211	0.0979293449
212	0.09789797754
213	0.09786223882
214	0.09781982797
215	0.09776207651
216	0.09771472997
217	0.09765025909
218	0.09760607457
219	0.09756390077
220	0.0975432587
221	0.09751046243
222	0.09747467272
223	0.09744944289
224	0.09736500316
225	0.09729489454
226	0.09727906009
227	0.09724738966
228	0.09722597677
229	0.09715309586
230	0.09710963092
231	0.09706478192
232	0.09700243226
233	0.09697828704
234	0.09694347662
235	0.09688845223
236	0.09685404865
237	0.09683237145
238	0.09678026061
239	0.09673645676
240	0.09668209306
241	0.09663188601
242	0.09658002196
243	0.09654308222
244	0.09651938815
245	0.09646312596
246	0.09641164301
247	0.09639299964
248	0.09637005605
249	0.09630237566
250	0.09628078661
251	0.09626145319
252	0.09621550861
253	0.09617984109
254	0.09616191833
255	0.096136533
256	0.09610581913
257	0.09609038335
258	0.09606711126
259	0.0960030219
260	0.09595639453
261	0.09591696704
262	0.09585701224
263	0.0958249464
264	0.09576172287
265	0.09571338901
266	0.09568249655
267	0.09565963475
268	0.09562054912
269	0.09557187604
270	0.09554941325
271	0.09550939533
272	0.09548021962
273	0.09544588746
274	0.09540041037
275	0.09538549954
276	0.09536124561
277	0.09533974922
278	0.09526968543
279	0.09525062138
280	0.09520533047
281	0.09513971701
282	0.09511679451
283	0.09509343856
284	0.09504029252
285	0.09501765229
286	0.0950047657
287	0.09499385923
288	0.0949376844
289	0.09488293886
290	0.09485981237
291	0.09483752873
292	0.09480528159
293	0.09477334531
294	0.09475068738
295	0.09470617421
296	0.09466181748
297	0.09462560908
298	0.09457194427
299	0.09454904451
